Date,Time,Network Type,inputFile1,inputFile2,inputFile3,inputFile4,Epochs,Image Dimension,Accuracy,Layers,Nodes,Kernal size
31/07/2017,14:41:57,DNN,r1.0/sampleBJetPre20.txt,r1.0/sampleCJetPre20.txt,,,5,400,82.877345569100129,3,100,
31/07/2017,15:04:14,DNN,r1.0/sampleBJetPre20.txt,r1.0/sampleDJetPre20.txt,,,5,400,51.401947899164924,3,100,
31/07/2017,15:04:50,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,,,5,400,48.051582105187698,10,100,
31/07/2017,15:19:34,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,,,5,400,95.730221610780532,1,300,
31/07/2017,15:25:54,DNN,r1.0/sampleCJetPre20.txt,r1.0/sampleDJetPre20.txt,,,5,400,81.403097530547015,3,100,
31/07/2017,15:38:34,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,,,5,400,95.781604813445824,3,300,
31/07/2017,15:48:01,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleCJetPre20.txt,,,5,400,93.918629550713916,3,100,
31/07/2017,15:48:49,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleCJetPre20.txt,,,3,400,93.841212321262418,1,100,
31/07/2017,15:59:39,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleCJetPre20.txt,,,3,400,93.712732663874846,3,100,
31/07/2017,16:12:31,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleCJetPre20.txt,,,3,400,93.592488881960819,5,100,
31/07/2017,16:20:34,DNN,r1.0/sampleBJetPre20.txt,r1.0/sampleCJetPre20.txt,r1.0/sampleDJetPre20.txt,,5,400,54.163332920136575,3,100,
31/07/2017,16:23:36,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,,,3,400,68.858980309352276,4,0,36
31/07/2017,16:30:33,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleCJetPre20.txt,,,3,400,48.596606819304895,10,100,
31/07/2017,16:39:41,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleCJetPre20.txt,,,3,400,94.201943667004471,1,300,
